s_adj	business	date	sales
Seasonally Adjusted	44000	1992.01	1.4714E+11
Seasonally Adjusted	44000	1992.02	1.47808E+11
Seasonally Adjusted	44000	1992.03	1.47327E+11
Seasonally Adjusted	44000	1992.04	1.48412E+11
Seasonally Adjusted	44000	1992.05	1.49259E+11
Seasonally Adjusted	44000	1992.06	1.50172E+11
Seasonally Adjusted	44000	1992.07	1.50773E+11
Seasonally Adjusted	44000	1992.08	1.51409E+11
Seasonally Adjusted	44000	1992.09	1.53282E+11
Seasonally Adjusted	44000	1992.1	1.53741E+11
Seasonally Adjusted	44000	1992.11	1.53957E+11
Seasonally Adjusted	44000	1992.12	1.56094E+11
Seasonally Adjusted	44000	1993.01	1.58085E+11
Seasonally Adjusted	44000	1993.02	1.56595E+11
Seasonally Adjusted	44000	1993.03	1.55331E+11
Seasonally Adjusted	44000	1993.04	1.5891E+11
Seasonally Adjusted	44000	1993.05	1.61115E+11
Seasonally Adjusted	44000	1993.06	1.60677E+11
Seasonally Adjusted	44000	1993.07	1.62993E+11
Seasonally Adjusted	44000	1993.08	1.62731E+11
Seasonally Adjusted	44000	1993.09	1.63698E+11
Seasonally Adjusted	44000	1993.1	1.64951E+11
Seasonally Adjusted	44000	1993.11	1.66986E+11
Seasonally Adjusted	44000	1993.12	1.68283E+11
Seasonally Adjusted	44000	1994.01	1.68277E+11
Seasonally Adjusted	44000	1994.02	1.70063E+11
Seasonally Adjusted	44000	1994.03	1.7302E+11
Seasonally Adjusted	44000	1994.04	1.7365E+11
Seasonally Adjusted	44000	1994.05	1.72608E+11
Seasonally Adjusted	44000	1994.06	1.74681E+11
Seasonally Adjusted	44000	1994.07	1.75159E+11
Seasonally Adjusted	44000	1994.08	1.77667E+11
Seasonally Adjusted	44000	1994.09	1.78867E+11
Seasonally Adjusted	44000	1994.1	1.81199E+11
Seasonally Adjusted	44000	1994.11	1.81184E+11
Seasonally Adjusted	44000	1994.12	1.81891E+11
Seasonally Adjusted	44000	1995.01	1.82946E+11
